Red,Green,Blue
0.522,0.261,0.217
0.522,0.261,0.217
0.550,0.250,0.200
0.545,0.227,0.227
0.556,0.222,0.222
0.545,0.227,0.227
0.524,0.238,0.238
0.500,0.273,0.227
0.500,0.292,0.208
0.526,0.263,0.211
0.545,0.227,0.227
0.556,0.222,0.222
0.550,0.250,0.200
0.529,0.235,0.235
0.579,0.211,0.211
0.550,0.250,0.200
0.556,0.222,0.222
0.500,0.273,0.227
0.524,0.286,0.190
0.550,0.250,0.200
0.588,0.235,0.176
0.550,0.250,0.200
0.556,0.222,0.222
0.550,0.250,0.200
0.588,0.235,0.176
0.550,0.250,0.200
0.562,0.250,0.187
0.550,0.250,0.200
0.588,0.235,0.176
0.588,0.235,0.176
0.579,0.211,0.211
0.588,0.235,0.176
0.550,0.250,0.200
0.562,0.250,0.187
0.550,0.250,0.200
0.562,0.250,0.187
0.588,0.235,0.176
0.556,0.222,0.222
0.562,0.250,0.187
0.556,0.222,0.222
0.600,0.200,0.200
0.588,0.235,0.176
0.562,0.250,0.187
0.588,0.235,0.176
0.550,0.250,0.200
0.562,0.250,0.187
0.588,0.235,0.176
0.571,0.214,0.214
0.600,0.200,0.200
0.571,0.214,0.214
0.600,0.200,0.200
0.588,0.235,0.176
0.600,0.200,0.200
0.579,0.211,0.211
0.600,0.200,0.200
0.562,0.250,0.187
0.588,0.235,0.176
0.600,0.200,0.200
0.562,0.250,0.187
0.562,0.250,0.187
0.571,0.238,0.190
0.588,0.235,0.176
0.571,0.238,0.190
0.562,0.250,0.187
0.636,0.182,0.182
0.611,0.222,0.167
0.571,0.214,0.214
0.583,0.250,0.167
0.500,0.250,0.250
0.562,0.250,0.187
0.500,0.269,0.231
