Red,Green,Blue
0.471,0.353,0.176
0.484,0.339,0.177
0.472,0.340,0.189
0.463,0.352,0.185
0.450,0.350,0.200
0.433,0.367,0.200
0.433,0.367,0.200
0.452,0.355,0.194
0.472,0.361,0.167
0.467,0.356,0.178
0.491,0.340,0.170
0.489,0.340,0.170
0.500,0.333,0.167
0.488,0.349,0.163
0.515,0.333,0.152
0.515,0.333,0.152
0.500,0.333,0.167
0.500,0.333,0.167
0.500,0.350,0.150
0.474,0.368,0.158
0.450,0.350,0.200
0.389,0.389,0.222
0.437,0.375,0.187
0.437,0.375,0.187
0.421,0.368,0.211
0.409,0.364,0.227
0.391,0.391,0.217
0.387,0.387,0.226
0.387,0.387,0.226
0.414,0.379,0.207
0.414,0.379,0.207
0.393,0.393,0.214
0.406,0.375,0.219
0.414,0.379,0.207
0.419,0.387,0.194
0.423,0.385,0.192
0.417,0.375,0.208
0.391,0.391,0.217
0.391,0.391,0.217
0.391,0.391,0.217
0.400,0.400,0.200
0.400,0.400,0.200
0.421,0.368,0.211
0.429,0.381,0.190
0.440,0.360,0.200
0.429,0.381,0.190
0.429,0.381,0.190
0.450,0.350,0.200
0.444,0.389,0.167
0.450,0.350,0.200
0.437,0.375,0.187
0.471,0.353,0.176
0.437,0.375,0.187
0.444,0.389,0.167
0.471,0.353,0.176
0.450,0.350,0.200
0.429,0.357,0.214
0.423,0.385,0.192
0.419,0.387,0.194
0.406,0.375,0.219
0.406,0.375,0.219
0.389,0.389,0.222
0.419,0.387,0.194
0.394,0.394,0.212
0.393,0.393,0.214
0.412,0.382,0.206
0.389,0.389,0.222
0.410,0.385,0.205
0.394,0.394,0.212
0.400,0.400,0.200
0.400,0.400,0.200
0.400,0.400,0.200
0.400,0.400,0.200
0.391,0.391,0.217
0.400,0.400,0.200
0.375,0.417,0.208
0.393,0.393,0.214
0.385,0.385,0.231
0.370,0.407,0.222
0.370,0.407,0.222
0.391,0.391,0.217
0.375,0.417,0.208
0.381,0.381,0.238
0.400,0.400,0.200
0.409,0.409,0.182
0.400,0.400,0.200
0.400,0.400,0.200
0.400,0.400,0.200
0.407,0.407,0.185
0.400,0.400,0.200
0.391,0.391,0.217
0.375,0.406,0.219
0.400,0.400,0.200
0.409,0.364,0.227
