Red,Green,Blue
0.540,0.300,0.160
0.558,0.288,0.154
0.600,0.286,0.114
0.571,0.286,0.143
0.571,0.286,0.143
0.615,0.269,0.115
0.591,0.273,0.136
0.600,0.300,0.100
0.625,0.250,0.125
0.625,0.250,0.125
0.600,0.267,0.133
0.591,0.273,0.136
0.609,0.261,0.130
0.615,0.269,0.115
0.591,0.273,0.136
0.600,0.280,0.120
0.579,0.263,0.158
0.636,0.273,0.091
0.600,0.267,0.133
0.600,0.267,0.133
0.591,0.273,0.136
0.591,0.273,0.136
0.609,0.261,0.130
0.583,0.292,0.125
0.607,0.286,0.107
0.600,0.280,0.120
0.619,0.286,0.095
0.571,0.286,0.143
0.588,0.294,0.118
0.611,0.278,0.111
0.625,0.250,0.125
0.611,0.278,0.111
0.600,0.267,0.133
0.600,0.267,0.133
0.611,0.278,0.111
0.615,0.269,0.115
0.615,0.269,0.115
0.600,0.267,0.133
0.615,0.269,0.115
0.594,0.281,0.125
0.594,0.281,0.125
0.594,0.281,0.125
0.630,0.259,0.111
0.609,0.261,0.130
0.591,0.273,0.136
0.615,0.231,0.154
0.600,0.267,0.133
0.600,0.250,0.150
0.571,0.286,0.143
0.609,0.261,0.130
0.611,0.278,0.111
0.609,0.261,0.130
0.591,0.273,0.136
0.615,0.269,0.115
0.591,0.273,0.136
0.600,0.250,0.150
0.600,0.267,0.133
0.611,0.278,0.111
0.588,0.294,0.118
0.609,0.261,0.130
0.615,0.269,0.115
0.594,0.281,0.125
0.594,0.281,0.125
0.581,0.290,0.129
0.594,0.281,0.125
0.583,0.292,0.125
0.615,0.269,0.115
0.609,0.261,0.130
0.600,0.280,0.120
0.586,0.276,0.138
0.600,0.280,0.120
0.606,0.273,0.121
0.600,0.267,0.133
0.595,0.270,0.135
0.571,0.286,0.143
0.583,0.278,0.139
0.579,0.289,0.132
0.571,0.286,0.143
0.564,0.282,0.154
0.559,0.294,0.147
0.579,0.263,0.158
0.571,0.286,0.143
0.571,0.286,0.143
0.590,0.282,0.128
0.588,0.294,0.118
0.591,0.273,0.136
0.590,0.282,0.128
0.605,0.279,0.116
0.595,0.286,0.119
0.583,0.292,0.125
0.518,0.304,0.179
